"encargo_fiduciario_id";"documento_id";"valor_debito"
980825;232415;429683.0
980826;233228;429683.0
980827;233346;429683.0
980828;233918;429683.0
980829;235075;429683.0
980830;237610;429683.0
980831;238029;429683.0
980832;230749;422449.0
980833;237246;422449.0
980834;230750;195311.0
980835;231399;195311.0
980836;231895;195311.0
980837;232398;195311.0
980838;232846;195311.0
980839;233552;195311.0
980840;237611;195311.0
980841;237974;195311.0
980842;230751;195311.0
980843;231678;195311.0
980844;232270;195311.0
980845;232708;195311.0
980846;233786;195311.0
980847;235606;195311.0
980848;236765;195311.0
980849;230752;429683.0
980850;237238;429683.0
980851;230753;429683.0
980852;231450;429683.0
980853;231899;429683.0
980854;232394;429683.0
980855;233225;429683.0
980856;233337;429683.0
980857;233845;429683.0
980858;235125;429683.0
980859;235642;429683.0
980860;237245;429683.0
980861;237522;429683.0
980862;237915;429683.0
980863;230754;217646.0
980864;232855;217646.0
980865;233705;217646.0
980866;234200;217646.0
980867;237162;217646.0
980868;230755;195311.0
980869;231400;195311.0
980870;231901;195311.0
980871;232389;195311.0
980872;233017;195311.0
980873;230756;398531.0
980874;231401;398531.0
980875;231903;398531.0
980876;232396;398531.0
980877;237073;398531.0
980878;237440;398531.0
980879;237968;398531.0
980880;230757;398531.0
980881;231403;398531.0
980882;231905;398531.0
980883;232409;398531.0
980884;237063;398531.0
980885;237436;398531.0
980886;237969;398531.0
980887;230758;429683.0
980888;237221;429683.0
980889;230759;429683.0
980890;231404;429683.0
980891;231906;429683.0
980892;233014;429683.0
980893;233330;429683.0
980894;233907;429683.0
980895;237084;429683.0
980896;237445;429683.0
980897;237980;429683.0
980898;230760;398531.0
980899;233558;398531.0
980900;234099;398531.0
980901;235392;398531.0
980902;237059;398531.0
980903;230761;210141.0
980904;231649;210141.0
980905;232725;210141.0
980906;237096;210141.0
980907;237822;210141.0
980908;230762;348961.0
980909;231619;348961.0
980910;232877;348961.0
980911;233715;348961.0
980912;234208;348961.0
980913;237154;348961.0
980914;237715;348961.0
980915;230763;390761.0
980916;231405;390761.0
980917;231909;390761.0
980918;232317;390761.0
980919;233203;390761.0
980920;233295;390761.0
980921;237123;390761.0
980922;237463;390761.0
980923;237995;390761.0
980924;230764;207698.0
980925;237216;207698.0
980926;230765;195311.0
980927;231407;195311.0
980928;231912;195311.0
980929;232422;195311.0
980930;233043;195311.0
980931;233562;195311.0
980932;235249;195311.0
980933;235924;195311.0
