ID;NOMBRE
203;POLITÉCNICO GENERAL JOSÉ MARÍA CÓRDOBA
204;POLITÉCNICO SUPERIOR DE COLOMBIA
205;AUTOCLASE CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA
206;FORMASER EDU
207;ACADEMIA DE BELLEZA TOSCANA GRUPO SANDRA
208;INSTITUCIÓN UNIVERSITARIA ESCOLME
209;CENTRO DE IDIOMAS ULA - MEDELLÍN
210;POLITÉCNICO METROPOLITANO DE MEDELLÍN
211;POLITÉCNICO DE MEDELLÍN
212;CONDUBELEN
213;FUNDACIÓN UNIVERSITARIA ESUMER
214;CONDUZCA C.E.A.
215;CEA LA ACADEMIA DE CONDUCCIÓN
216;ARTE AMARILLO MÚSICA Y PINTURA
217;EL BÚHO Y/O THE OWL - CENTRO DE IDIOMAS
218;FUNCERE CENTRO DE FORMACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO
219;CORPORACIÓN DE ESTUDIO MICRO-ELECTRÓNICO
220;CORPORACIÓN UNIVERSITARIA REMINGTON
221;A.V.C. AUDIOVISUAL CENTER
222;CORPORACIÓN ESCUELA SUPERIOR DE CRIMINOLOGÍA
223;GLOTTA IDIOMAS WINSTON SALEM
224;INSTITUTO TÉCNICO LABORAL COLOMBIANO
225;ADANEVA'S FORMADORES DE BELLEZA Y BARBERÍA INTEGRAL
226;ESCUELA DE IDIOMAS CONEXIÓN GLOBAL LINK TUTORIAL ENGLISH
227;FUNDACIÓN ESCUELA TÉCNICA EMPRESARIAL
228;ESCUELA LATINOAMERICANA DE EDUCACIÓN
